,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,39.150002,40.450001,38.91,40.419998,40.419998,11401300
1,2021-11-02,40.240002,40.5,39.830002,40.389999,40.389999,7611200
2,2021-11-03,40.290001,41.349998,40.029999,41.240002,41.240002,10010600
3,2021-11-04,41.459999,41.490002,40.580002,40.990002,40.990002,9990300
4,2021-11-05,43.540001,44.419998,43.259998,44.290001,44.290001,23633500
5,2021-11-08,45.0,45.52,44.5,44.650002,44.650002,15006700
6,2021-11-09,44.43,44.57,43.720001,44.529999,44.529999,9359100
7,2021-11-10,43.799999,44.470001,43.529999,43.709999,43.709999,8698700
8,2021-11-11,43.779999,44.240002,43.450001,43.450001,43.450001,6370700
9,2021-11-12,43.5,43.529999,41.869999,42.220001,42.220001,10028800
10,2021-11-15,42.639999,42.939999,42.139999,42.380001,42.380001,6938400
11,2021-11-16,42.099998,42.189999,40.900002,41.040001,41.040001,11055500
12,2021-11-17,40.98,41.25,40.299999,40.709999,40.709999,9025300
13,2021-11-18,40.75,40.77,39.439999,40.119999,40.119999,11615800
14,2021-11-19,39.77,39.93,38.889999,39.689999,39.689999,15033400
