,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,330.470001,334.200012,330.070007,330.929993,325.970245,1865000
1,2021-11-02,331.450012,332.040009,325.309998,326.309998,321.419495,2745000
2,2021-11-03,325.5,333.100006,324.230011,331.350006,326.383972,1902600
3,2021-11-04,331.299988,335.73999,331.299988,335.5,330.471771,1847900
4,2021-11-05,336.950012,340.519989,336.350006,339.890015,334.79599,2144600
5,2021-11-08,341.630005,343.019989,337.579987,341.779999,336.657654,1733000
6,2021-11-09,341.380005,342.0,337.100006,338.170013,333.101776,1769200
7,2021-11-10,338.769989,340.700012,337.5,337.630005,332.569855,1268700
8,2021-11-11,337.140015,337.209991,333.299988,335.890015,330.855957,1216500
9,2021-11-12,335.619995,340.390015,335.029999,339.059998,333.978394,1097400
10,2021-11-15,339.549988,341.649994,339.429993,340.920013,335.810547,1068600
11,2021-11-16,341.890015,343.640015,339.76001,340.369995,335.268768,1307500
12,2021-11-17,339.480011,343.549988,339.480011,341.98999,336.864471,1751000
13,2021-11-18,342.720001,343.109985,340.209991,342.079987,336.953125,1431300
14,2021-11-19,340.880005,343.0,339.350006,341.440002,336.322754,1426500
