,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,197.820007,197.820007,192.229996,197.080002,195.922623,551000
1,2021-11-02,197.960007,202.820007,197.699997,202.039993,200.853485,763400
2,2021-11-03,202.869995,203.990005,196.809998,199.419998,198.248871,623400
3,2021-11-04,199.419998,201.690002,197.839996,198.880005,197.712051,413200
4,2021-11-05,199.539993,200.0,192.529999,194.600006,193.457184,570300
5,2021-11-08,196.0,197.529999,193.149994,197.429993,196.270554,433600
6,2021-11-09,197.429993,199.220001,196.460007,197.710007,196.54892,413800
7,2021-11-10,197.570007,199.110001,196.899994,197.149994,195.992203,409400
8,2021-11-11,197.149994,198.580002,196.039993,198.389999,197.224915,278400
9,2021-11-12,198.399994,199.949997,196.570007,197.960007,196.797455,401300
10,2021-11-15,197.960007,199.990005,195.910004,199.929993,198.755875,445800
11,2021-11-16,200.139999,200.470001,196.789993,198.779999,197.612625,586200
12,2021-11-17,198.5,201.630005,195.25,201.270004,200.088013,596100
13,2021-11-18,202.070007,204.509995,201.740005,203.309998,202.116028,811300
14,2021-11-19,203.669998,204.740005,201.130005,202.160004,200.972778,805800
