,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,103.889999,104.330002,102.690002,104.0,104.0,5432400
1,2021-11-02,103.93,105.339996,103.370003,104.660004,104.660004,7191700
2,2021-11-03,104.389999,104.730003,101.879997,102.610001,102.610001,9009000
3,2021-11-04,102.230003,102.309998,98.169998,99.790001,99.790001,14823800
4,2021-11-05,101.330002,101.980003,99.730003,99.870003,99.870003,8447600
5,2021-11-08,100.459999,101.800003,99.970001,100.07,100.07,7332000
6,2021-11-09,99.459999,100.309998,98.279999,99.709999,99.709999,8756900
7,2021-11-10,98.739998,99.620003,97.720001,97.769997,97.769997,9191500
8,2021-11-11,98.040001,99.309998,97.470001,98.879997,98.879997,6249600
9,2021-11-12,99.209999,99.889999,98.050003,99.849998,99.849998,7268300
10,2021-11-15,100.029999,100.800003,99.959999,100.209999,100.209999,5652200
11,2021-11-16,100.0,101.559998,99.510002,100.690002,100.690002,6448500
12,2021-11-17,100.510002,100.629997,97.349998,97.68,97.68,9670700
13,2021-11-18,97.93,98.260002,96.489998,97.68,97.68,6850200
14,2021-11-19,96.220001,97.879997,94.949997,96.910004,96.910004,9923400
