,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,69.050278,73.335991,68.802872,72.53791,72.130524,1361886
1,2021-11-02,72.46608,72.689545,68.794891,69.16201,68.773582,833370
2,2021-11-03,68.531525,70.742218,68.068634,69.632881,69.241814,907799
3,2021-11-04,69.808456,70.686356,68.555466,69.569031,69.178314,1079460
4,2021-11-05,71.492416,73.695129,71.189148,73.35994,72.947937,1419900
5,2021-11-08,74.010002,76.32,73.900002,74.970001,74.54895,1696500
6,2021-11-09,74.300003,75.800003,72.970001,75.790001,75.364349,1492000
7,2021-11-10,75.559998,79.980003,75.489998,78.129997,77.907074,1077000
8,2021-11-11,78.230003,80.800003,77.5,80.080002,79.851509,921900
9,2021-11-12,80.25,80.93,79.330002,80.040001,79.811623,683400
10,2021-11-15,80.57,80.889999,79.419998,79.919998,79.691963,571100
11,2021-11-16,79.389999,79.889999,76.720001,77.949997,77.727585,721200
12,2021-11-17,77.080002,77.489998,76.099998,77.199997,76.979721,834700
13,2021-11-18,77.889999,77.889999,74.080002,75.610001,75.394264,550300
14,2021-11-19,74.25,75.040001,73.769997,74.370003,74.157806,576700
