,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-11-01,59.709999,60.369999,59.619999,60.189999,60.189999,2732100
1,2021-11-02,60.0,60.369999,59.799999,59.98,59.98,3318100
2,2021-11-03,59.700001,61.799999,59.669998,61.080002,61.080002,4537700
3,2021-11-04,60.700001,60.830002,59.650002,60.389999,60.389999,4685900
4,2021-11-05,62.0,62.540001,58.709999,58.959999,58.959999,6787500
5,2021-11-08,59.060001,59.869999,58.599998,59.16,59.16,5118300
6,2021-11-09,58.799999,59.529999,58.27,58.759998,58.759998,3097700
7,2021-11-10,58.639999,59.389999,58.290001,58.860001,58.860001,3645500
8,2021-11-11,58.810001,59.290001,58.77,58.860001,58.860001,3113300
9,2021-11-12,58.75,59.060001,58.099998,58.209999,58.209999,3538100
10,2021-11-15,58.389999,58.59,57.869999,58.09,58.09,3819900
11,2021-11-16,58.450001,58.68,57.16,57.189999,57.189999,3772300
12,2021-11-17,56.98,57.32,56.59,56.950001,56.950001,4567200
13,2021-11-18,56.98,57.25,55.799999,56.119999,56.119999,4568000
14,2021-11-19,55.200001,55.709999,54.709999,54.950001,54.950001,4864300
