HINDUNILVR.NS,
TATASTEEL.NS,
GRASIM.NS,
SBIN.NS,
JSWSTEEL.NS,
IOC.NS,
INDUSINDBK.NS,
TATACONSUM.NS,
TATAMOTORS.NS,
AXISBANK.NS,
BAJAJFINSV.NS,
NESTLEIND.NS,
BRITANNIA.NS,
BAJAJ-AUTO.NS,
MARUTI.NS,
SBILIFE.NS,
ADANIPORTS.NS,
LT.NS,
BPCL.NS,
HDFC.NS,
BAJFINANCE.NS,
RELIANCE.NS,
DIVISLAB.NS,
HDFCBANK.NS,
TITAN.NS,
ICICIBANK.NS,
HEROMOTOCO.NS,
HDFCLIFE.NS,
ITC.NS,
NTPC.NS,
ASIANPAINT.NS,
BHARTIARTL.NS,
HINDALCO.NS,
HCLTECH.NS,
KOTAKBANK.NS,
INFY.NS,
SHREECEM.NS,
M&M.NS,
EICHERMOT.NS,
POWERGRID.NS,
CIPLA.NS,
ULTRACEMCO.NS,
WIPRO.NS,
SUNPHARMA.NS,
TCS.NS,
ONGC.NS,
UPL.NS,
DRREDDY.NS,
TECHM.NS,
COALINDIA.NS,
